Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
1,sáb,2024-08-17,18:30,Genoa,2.1,2–2,1.9,Inter,,Stadio Comunale Luigi Ferraris,,Relatório da Partida,,/pt/partidas/5dd9a8ae/Genoa-Internazionale-2024Agosto17-Serie-A
1,sáb,2024-08-17,18:30,Parma,1.7,1–1,0.7,Fiorentina,,Stadio Ennio Tardini,,Relatório da Partida,,/pt/partidas/99186416/Parma-Fiorentina-2024Agosto17-Serie-A
1,sáb,2024-08-17,20:45,Milan,2.1,2–2,1.0,Torino,,Stadio Giuseppe Meazza,,Relatório da Partida,,/pt/partidas/6321e075/Milan-Torino-2024Agosto17-Serie-A
1,sáb,2024-08-17,20:45,Empoli,0.5,0–0,0.3,Monza,,Stadio Carlo Castellani - Computer Gross...,,Relatório da Partida,,/pt/partidas/e1942888/Empoli-Monza-2024Agosto17-Serie-A
1,dom,2024-08-18,18:30,Hellas Verona,1.7,3–0,1.0,Napoli,,Stadio Marc'Antonio Bentegodi,,Relatório da Partida,,/pt/partidas/6a1d7fbe/Hellas-Verona-Napoli-2024Agosto18-Serie-A
1,dom,2024-08-18,18:30,Bologna,3.2,1–1,0.9,Udinese,,Stadio Renato Dall'Ara,,Relatório da Partida,,/pt/partidas/a538d1ae/Bologna-Udinese-2024Agosto18-Serie-A
1,dom,2024-08-18,20:45,Cagliari,1.0,0–0,0.9,Roma,,Unipol Domus,,Relatório da Partida,,/pt/partidas/8314db9d/Cagliari-Roma-2024Agosto18-Serie-A
1,dom,2024-08-18,20:45,Lazio,2.4,3–1,0.6,Venezia,,Stadio Olimpico,,Relatório da Partida,,/pt/partidas/8c25dfec/Lazio-Venezia-2024Agosto18-Serie-A
1,seg,2024-08-19,18:30,Lecce,1.5,0–4,1.7,Atalanta,,Stadio Comunale Ettore Giardiniero,,Relatório da Partida,,/pt/partidas/5b248995/Lecce-Atalanta-2024Agosto19-Serie-A
1,seg,2024-08-19,20:45,Juventus,1.2,3–0,0.2,Como,,Allianz Stadium,,Relatório da Partida,,/pt/partidas/888690a6/Juventus-Como-2024Agosto19-Serie-A
2,sáb,2024-08-24,18:30,Udinese,0.8,2–1,1.3,Lazio,,Bluenergy Stadium,,Relatório da Partida,,/pt/partidas/b6b8cabd/Udinese-Lazio-2024Agosto24-Serie-A
